SNO,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,exteriorpassSteps,exteriorfailSteps,interiorpassSteps,interiorfailSteps,ecpassSteps,ecfailSteps,pspassSteps,psfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,TestCaseTypeCode,Status
2045,SUV,"GLE 580 4Matic SUV",472,404,68,0,0,0,0,98,12,99,18,101,18,106,20,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-10-09 17:13:00","2020-10-09 17:15:00",shanta.shetty,2,2021,1,2,1,1,3,A
2046,SUV,"AMG GLE 63 S 4Matic SUV",154,120,34,120,34,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-10-09 17:16:00","2020-10-09 17:18:00",shanta.shetty,2,2021,1,2,2,1,1,A
2047,SUV,"AMG GLE 63 S 4Matic SUV",571,504,67,0,0,504,67,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-10-09 17:16:00","2020-10-09 17:18:00",shanta.shetty,2,2021,1,2,2,1,2,A
2048,SUV,"AMG GLE 63 S 4Matic SUV",496,408,88,0,0,0,0,98,20,97,23,104,15,109,30,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-10-09 17:16:00","2020-10-09 17:18:00",shanta.shetty,2,2021,1,2,1,1,3,A
2049,SUV,"GLA 250 SUV",243,198,45,198,45,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-10-09 17:18:00","2020-10-09 17:20:00",shanta.shetty,2,2021,1,2,2,1,1,A
2050,SUV,"GLA 250 SUV",574,520,54,0,0,520,54,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-10-09 17:18:00","2020-10-09 17:20:00",shanta.shetty,2,2021,1,2,2,1,2,A
2051,SUV,"GLA 250 SUV",480,400,80,0,0,0,0,97,12,99,20,96,29,108,19,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-10-09 17:18:00","2020-10-09 17:20:00",shanta.shetty,2,2021,1,2,1,1,3,A
2052,SUV,"AMG GLA 35 SUV",188,154,34,154,34,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html,"2020-10-09 17:21:00","2020-10-09 17:22:00",shanta.shetty,2,2021,1,2,2,1,1,A
2053,SUV,"AMG GLA 35 SUV",549,504,45,0,0,504,45,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html,"2020-10-09 17:21:00","2020-10-09 17:22:00",shanta.shetty,2,2021,1,2,1,1,2,A
2054,SUV,"AMG GLA 35 SUV",503,424,79,0,0,0,0,109,19,99,20,106,20,110,20,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html,"2020-10-09 17:21:00","2020-10-09 17:22:00",shanta.shetty,2,2021,1,2,1,1,3,A
