"SNO";"Class";"TestcaseName";"TestStepsExecuted";"TestStepsPassed";"TestStepsFailed";"classpassSteps";"classfailSteps";"modelpassSteps";"modelfailSteps";"exteriorpassSteps";"exteriorfailSteps";"interiorpassSteps";"interiorfailSteps";"ecpassSteps";"ecfailSteps";"pspassSteps";"psfailSteps";"TestOutputFile";"ExecStartTime";"ExecEndTime";"Executedby";"ResultCode";"ModelYearCode";"TypeCode";"RegionCode";"LanguageCode";"EnvironmentCode";"TestCaseTypeCode";"Status"
53;"SUV";"GLE 580 4Matic SUV";484.0;456.0;28.0;0.0;0.0;456.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-17 17:13:00";"2020-09-17 17:15:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
54;"SUV";"GLE 580 4Matic SUV";463.0;406.0;57.0;0.0;0.0;0.0;0.0;99.0;12.0;98.0;19.0;101.0;12.0;108.0;14.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-17 17:13:00";"2020-09-17 17:15:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
55;"SUV";"AMG GLE 63 S 4Matic SUV";181.0;158.0;23.0;158.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-17 17:16:00";"2020-09-17 17:18:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
56;"SUV";"AMG GLE 63 S 4Matic SUV";568.0;534.0;34.0;0.0;0.0;534.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-17 17:16:00";"2020-09-17 17:18:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
57;"SUV";"AMG GLE 63 S 4Matic SUV";440.0;388.0;52.0;0.0;0.0;0.0;0.0;99.0;12.0;98.0;12.0;104.0;14.0;87.0;14.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-17 17:16:00";"2020-09-17 17:18:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
58;"SUV";"GLA 250 SUV";187.0;167.0;20.0;167.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-17 17:18:00";"2020-09-17 17:20:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
59;"SUV";"GLA 250 SUV";505.0;480.0;25.0;0.0;0.0;480.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-17 17:18:00";"2020-09-17 17:20:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
60;"SUV";"GLA 250 SUV";458.0;400.0;58.0;0.0;0.0;0.0;0.0;98.0;12.0;97.0;14.0;96.0;15.0;109.0;17.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-17 17:18:00";"2020-09-17 17:20:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
61;"SUV";"AMG GLA 35 SUV";210.0;189.0;21.0;189.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-17 17:21:00";"2020-09-17 17:22:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
62;"SUV";"AMG GLA 35 SUV";532.0;498.0;34.0;0.0;0.0;498.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-17 17:21:00";"2020-09-17 17:22:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
63;"SUV";"AMG GLA 35 SUV";486.0;413.0;73.0;0.0;0.0;0.0;0.0;98.0;19.0;99.0;20.0;109.0;18.0;107.0;16.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-17 17:21:00";"2020-09-17 17:22:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
64;"SUV";"GLE 350 SUV";177.0;167.0;10.0;167.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-25 17:06:00";"2020-09-25 17:09:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
65;"SUV";"GLE 350 SUV";487.0;467.0;20.0;0.0;0.0;467.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-25 17:06:00";"2020-09-25 17:09:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
66;"SUV";"GLE 350 SUV";454.0;402.0;52.0;0.0;0.0;0.0;0.0;99.0;12.0;109.0;12.0;98.0;14.0;96.0;14.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-25 17:06:00";"2020-09-25 17:09:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
67;"SUV";"GLE 350 4Matic SUV";177.0;167.0;10.0;167.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-25 17:09:00";"2020-09-25 17:11:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
